Virus	RCA-Skin-5	RCA-Vulva-5	RCA-Vulva-8	RCA-Skin-7	RCA-Vulva-3	RCA-Vulva-7	RCA-Skin-10	RCA-Skin-3	RCA-Vulva-4	RCA-Skin-8	RCA-Vulva-9	RCA-Skin-12	RCA-Skin-1	RCA-Vulva-1	RCA-Vulva-6	RCA-Skin-4	RCA-Skin-6	RCA-Vulva-10	RCA-Vulva-11	RCA-Vulva-12	RCA-Skin-11	RCA-Skin-2	RCA-Vulva-2	RCA-Skin-9
Streptococcus phage Javan348	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	13.0	0	0	0	0	0	0	0	0
Staphylococcus phage StB12	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	3.0	2.0	0	0	0	0	0	0	0	0
Blackfly genomovirus 4	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage pa59	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus satellite phage Javan327	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant associated genomovirus 7	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas phage vB_Pae_BR327a	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas phage SaPL	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0
Streptococcus phage Javan68	0	0	0	0	0	0	0	0	2.0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus phage phiIPLA-C1C	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0
Human papillomavirus 175	0	0	0	0	0	0	0	0	0	2905.0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0
Gammapapillomavirus 8	0	0	0	0	0	0	0	0	0	75.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gammapapillomavirus 1	0	0	0	0	0	0	0	0	0	15.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lambdapapillomavirus 1	0	0	0	0	0	0	0	0	0	10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus type 119	0	0	0	0	0	0	0	0	0	6.0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0
Gammapapillomavirus 22	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus satellite phage Javan298	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus 136	0	0	0	0	0	0	0	0	0	0	150.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus V001/Slovenia/2010	0	0	0	0	0	0	0	0	0	0	18.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus 126	0	0	0	0	0	0	0	0	0	0	16.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus 154	0	0	0	0	0	0	0	0	0	0	14.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus type 60	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus type 68	0	0	0	0	0	0	0	0	0	0	8.0	0	0	11.0	0	0	0	0	0	0	0	0	0	0
Streptococcus satellite phage Javan82	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus phage Javan278	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus satellite phage Javan80	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human T-cell leukemia virus type I	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus 140	0	0	0	0	0	0	0	0	0	0	0	175.0	0	0	0	0	0	0	0	0	0	0	0	0
Capybara genomovirus 12	0	0	0	0	0	0	0	0	0	0	0	277.0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus 149	0	0	0	0	0	0	0	0	0	0	0	933.0	0	0	0	0	0	0	0	0	0	0	0	0
Plant associated genomovirus 10	0	0	0	0	0	0	0	0	0	0	0	14.0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter phage AbKT21phiIII	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0
Lactococcus phage 936 group phage PhiF0139	0	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0
Porcine feces-associated gemycircularvirus	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0
Fly associated circular virus 2	0	0	0	0	0	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0
uncultured phage	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	0	0	0	0	0	0	0
Streptococcus phage phiARI0460-2	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia phage vB_EcoM_G4507	0	0	0	0	0	0	0	0	0	0	0	0	8.0	0	0	4.0	0	0	0	0	0	3.0	0	0
Escherichia phage vB_EcoM_G10400	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus type 44	0	0	0	0	0	0	0	0	0	0	0	0	0	15.0	0	0	0	0	0	0	0	0	2.0	0
Streptococcus satellite phage Javan743	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus 139	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0
TT virus sle1932	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
Streptococcus satellite phage Javan759	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus type 50	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
Acinetobacter virus 133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0	0	0	0	0	0	0	0	0	0
Human papillomavirus 9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	0	1493.0	0	0
Human papillomavirus type 42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0	0	0	0	0	0	0	0	0	0
Human papillomavirus 23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	77.0	0	180.0	0	0	0	47.0	0	0
Human papillomavirus type 153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0
Staphylococcus phage phiSA_BS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0
Lactococcus phage phiQ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0
Streptococcus phage Javan14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0
Human papillomavirus type 91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0
Aeromonas phage D6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0
Staphylococcus phage HOB 14.1.R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0
Streptococcus phage Javan366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0	0	0	0	0	0	0	0	0
Swine cyclovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.0	0	0	0	0	0	0	0	0
Streptococcus phage Javan340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.0	0	0	0	0	0	0	0	0
Human cyclovirus VN-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.0	0	0	0	0	0	32.0	0	0
Cyclovirus ZM50a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.0	0	0	0	0	0	370.0	0	0
Cyclovirus ZM41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	11.0	0	0
Human papillomavirus 77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.0	0	0	0	0	0	0	0	0
Human papillomavirus 28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0
LNras*SN acutely transforming retrovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0
Capybara genomovirus 4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0
Staphylococcus phage phiRS7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0
Giant panda associated gemycircularvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0
Lepus americanus faeces associated genomovirus SHP216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0
Human papillomavirus 130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	0	0
Bohle iridovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
Haemophilus virus HP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
Streptococcus phage Javan42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
Felid alphaherpesvirus 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0
Streptococcus phage CHPC1062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0
Human papillomavirus type 195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0
Streptococcus satellite phage Javan763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0
TT virus sle2556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.0	0	0	0
TT virus sle2552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0
Gammapapillomavirus 7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0
Human cytomegalovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0
TT virus sle2550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0
Cyclovirus ZM38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.0	0	0
Cyclovirus ZM62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.0	0	0
Human papillomavirus 173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	975.0	0	0
Human papillomavirus 205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.0	0	0
Human polyomavirus 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0
Human papillomavirus type 147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.0	0	0
Staphylococcus phage Andhra	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0
Human papillomavirus 134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0	0	0
Streptococcus satellite phage Javan323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0
Actinomyces virus Av1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0
Zika virus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0	0
Human endogenous retrovirus K	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0
Quebec polyomavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0
Human papillomavirus 111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	975.0
Human betapapillomavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.0
Canis familiaris papillomavirus 4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.0
Human papillomavirus type 129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.0
Pseudomonas virus H66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0
Human papillomavirus type 12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.0
Streptococcus virus MS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0
Gammapapillomavirus sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0
Human papillomavirus 169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0
Streptococcus satellite phage Javan438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
Staphylococcus phage phiSP15-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0
Human papillomavirus 201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0
Tortoise genomovirus 10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
Black robin associated gemykibivirus 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
Human papillomavirus type 118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
Streptococcus satellite phage Javan742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
Staphylococcus phage IME-SA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
Circoviridae sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
Human oral-associated vientovirus MC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
Streptococcus phage Javan370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
