"taxonomy";"RCA.Skin.1";"RCA.Skin.2";"RCA.Skin.3";"RCA.Skin.4";"RCA.Skin.5";"RCA.Skin.6";"RCA.Skin.7";"RCA.Skin.8";"RCA.Skin.9";"RCA.Skin.10";"RCA.Skin.11";"RCA.Skin.12";"RCA.Vulva.1";"RCA.Vulva.2";"RCA.Vulva.3";"RCA.Vulva.4";"RCA.Vulva.5";"RCA.Vulva.6";"RCA.Vulva.7";"RCA.Vulva.8";"RCA.Vulva.9";"RCA.Vulva.10";"RCA.Vulva.11";"RCA.Vulva.12"
"Viruses;Polyomaviridae;NA;Cat associated lyon-IARC polyomavirus";0;9;19;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Polyomaviridae;Deltapolyomavirus;Human polyomavirus 6";0;0;0;3631;0;0;94;22;46;0;16;0;0;0;980;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;NA;Corynebacterium phage IME1320_01";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0
"Viruses;NA;NA;uncultured virus";0;0;191;27;0;281;0;0;0;2;0;2;0;0;4;0;4;0;0;0;0;0;0;0
"Viruses;Papillomaviridae;NA";4;2087;16637;126;2640;141;548;3861;1167;1705;93;149;5;3;1212;91;561;29;298;0;218;8;4;0
"Viruses;Papillomaviridae;NA;uncultured Papillomavirus";0;284;0;0;129;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Polyomaviridae;Deltapolyomavirus;Human polyomavirus 10";10;169;9;28;131;22;21;28;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Polyomaviridae;Alphapolyomavirus";6;17;1049;6;204;0;0;327;31;0;7;11;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Polyomaviridae;Alphapolyomavirus;Human polyomavirus 5";6;17;1049;6;204;0;0;327;31;0;7;11;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Baculoviridae";0;0;0;0;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Baculoviridae;Betabaculovirus";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Baculoviridae;Betabaculovirus;Spodoptera frugiperda granulovirus";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Papillomaviridae;NA;Human papillomavirus";4;1803;16637;126;2511;141;548;3861;1167;1705;20;149;5;3;1212;91;561;29;298;0;218;8;4;0
"Viruses;Herpesviridae;Varicellovirus";0;0;0;3;28;3;7;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Herpesviridae;Varicellovirus;Suid alphaherpesvirus 1";0;0;0;3;28;3;7;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Retroviridae;Gammaretrovirus;Murine leukemia virus";0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Papillomaviridae;Gammapapillomavirus;Gammapapillomavirus 12";0;0;436;0;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Herpesviridae;Lymphocryptovirus";0;27;0;0;5;5;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"Viruses;Herpesviridae;Lymphocryptovirus;Human gammaherpesvirus 4";0;27;0;0;5;5;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"Viruses;Polyomaviridae;NA;LI polyomavirus";0;230;215;37;63;14;10;21;7;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Papillomaviridae;Alphapapillomavirus;Alphapapillomavirus 9";0;4;10;191;68;0;55;0;0;398;34;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Baculoviridae;Alphabaculovirus";0;0;0;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Baculoviridae;Alphabaculovirus;Spodoptera frugiperda multiple nucleopolyhedrovirus";0;0;0;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
