"ESPECES" "family" "subkingdom" "genus" "species" "number" "value" "from_"
"Human papillomavirus 104" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Vulva.9" 4 NA
"Human papillomavirus 202" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 11" "RCA.Vulva.9" 20 NA
"Human immunodeficiency virus 1" "Retroviridae" "Orthoretrovirinae" "Lentivirus" "Human immunodeficiency virus 1" "RCA.Vulva.9" 5 NA
"Human papillomavirus 126" "Papillomaviridae" "Firstpapillomavirinae" "Alphapapillomavirus" "Alphapapillomavirus 10" "RCA.Vulva.9" 16 NA
"Human papillomavirus 136" "Papillomaviridae" "Firstpapillomavirinae" "Alphapapillomavirus" "Alphapapillomavirus 6" "RCA.Vulva.9" 148 NA
"Human papillomavirus 154" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Vulva.9" 13 NA
"Human papillomavirus 99" "Papillomaviridae" "Firstpapillomavirinae" "Alphapapillomavirus" "Alphapapillomavirus 10" "RCA.Vulva.9" 352 NA
"Human papillomavirus type 185" "Flaviviridae" NA "Flavivirus" "Zika virus" "RCA.Vulva.9" 5 NA
"Human papillomavirus type 96" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 11" "RCA.Vulva.9" 154 NA
"Human papillomavirus V001/Slovenia/2010" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 11" "RCA.Vulva.9" 18 NA
"Human papillomavirus" "Papillomaviridae" NA NA "Human papillomavirus" "RCA.Skin.12" 149 NA
"Merkel cell polyomavirus" "Polyomaviridae" NA "Alphapolyomavirus" "Human polyomavirus 5" "RCA.Skin.12" 11 NA
"MW polyomavirus" "Polyomaviridae" NA "Deltapolyomavirus" "Human polyomavirus 10" "RCA.Skin.12" 27 NA
"LI polyomavirus" "Polyomaviridae" NA NA "LI polyomavirus" "RCA.Skin.12" 6 NA
"Human papillomavirus type 24" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Skin.12" 413 NA
"Circular genetic element sp." NA NA NA "Circular genetic element sp." "RCA.Skin.12" 85 NA
"uncultured virus" NA NA NA "uncultured virus" "RCA.Skin.12" 2 NA
"Genomoviridae sp." "Genomoviridae" NA NA "Genomoviridae sp." "RCA.Skin.12" 18 NA
"Human papillomavirus 202" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 11" "RCA.Skin.12" 10498 NA
"Human papillomavirus 149" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 7" "RCA.Skin.12" 925 NA
"Capybara genomovirus 12" "Genomoviridae" NA NA "Capybara genomovirus 12" "RCA.Skin.12" 276 NA
"Human papillomavirus 140" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 11" "RCA.Skin.12" 175 NA
"Plant associated genomovirus 10" "Genomoviridae" NA NA "Plant associated genomovirus 10" "RCA.Skin.12" 7 NA
"Acinetobacter phage AbKT21phiIII" "Siphoviridae" NA "Skunavirus" "Lactococcus phage 936 group phage PhiF0139" "RCA.Skin.12" 4 NA
"Fly associated circular virus 2" "Genomoviridae" NA NA "Fly associated circular virus 2" "RCA.Skin.12" 4 NA
"Lactococcus phage 936 group phage PhiF0139" "Autographiviridae" "Beijerinckvirinae" "Friunavirus" "Acinetobacter phage AbKT21phiIII" "RCA.Skin.12" 4 NA
"Acinetobacter phage TAC1" NA NA NA "uncultured marine virus" "RCA.Skin.12" 2 NA
"Porcine feces-associated gemycircularvirus" "Genomoviridae" NA "Gemycircularvirus" "Porcine feces-associated gemycircularvirus" "RCA.Skin.12" 2 NA
"uncultured marine virus" "Myoviridae" NA NA "Acinetobacter phage TAC1" "RCA.Skin.12" 2 NA
"Human papillomavirus" "Papillomaviridae" NA NA "Human papillomavirus" "RCA.Skin.1" 4 NA
"Merkel cell polyomavirus" "Polyomaviridae" NA "Alphapolyomavirus" "Human polyomavirus 5" "RCA.Skin.1" 6 NA
"MW polyomavirus" "Polyomaviridae" NA "Deltapolyomavirus" "Human polyomavirus 10" "RCA.Skin.1" 10 NA
"Papillomavirus JL74" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 13" "RCA.Skin.1" 27 NA
"Moloney murine sarcoma virus" "Retroviridae" "Orthoretrovirinae" "Gammaretrovirus" "Moloney murine sarcoma virus" "RCA.Skin.1" 15 NA
"Escherichia phage vB_EcoM_G4507" "Myoviridae" "Tevenvirinae" "Tequatrovirus" "Escherichia phage vB_EcoM_G4507" "RCA.Skin.1" 7 NA
"Human papillomavirus type 128" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 13" "RCA.Skin.1" 4 NA
"Human papillomavirus" "Papillomaviridae" NA NA "Human papillomavirus" "RCA.Vulva.1" 5 NA
"Human papillomavirus type 24" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Vulva.1" 7 NA
"Human papillomavirus type 44" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Vulva.1" 2 NA
"Human papillomavirus type 68" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Vulva.1" 2 NA
"JC polyomavirus" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 11" "RCA.Vulva.1" 4 NA
"Streptococcus phage SW27" "Siphoviridae" NA NA "Corynebacterium phage IME1320_01" "RCA.Vulva.1" 2 NA
"unidentified phage" "Herelleviridae" "Twortvirinae" "Sepunavirus" "Staphylococcus phage Quidividi" "RCA.Vulva.1" 4 NA
"Human papillomavirus" "Papillomaviridae" NA NA "Human papillomavirus" "RCA.Vulva.6" 29 NA
"Human papillomavirus type 24" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Vulva.6" 2015 NA
"Human papillomavirus 9" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Vulva.6" 2 NA
"Acinetobacter virus 133" "Papillomaviridae" "Firstpapillomavirinae" "Alphapapillomavirus" "Alphapapillomavirus 10" "RCA.Vulva.6" 9 NA
"Corynebacterium phage IME1320_01" "Papillomaviridae" "Firstpapillomavirinae" "Alphapapillomavirus" "Alphapapillomavirus 1" "RCA.Vulva.6" 3 NA
"Human papillomavirus 98" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Vulva.6" 22 NA
"Human papillomavirus type 42" "Myoviridae" "Tevenvirinae" NA "Acinetobacter virus 133" "RCA.Vulva.6" 4 NA
"Human papillomavirus" "Papillomaviridae" NA NA "Human papillomavirus" "RCA.Skin.4" 126 NA
"Merkel cell polyomavirus" "Polyomaviridae" NA "Alphapolyomavirus" "Human polyomavirus 5" "RCA.Skin.4" 6 NA
"MW polyomavirus" "Polyomaviridae" NA "Deltapolyomavirus" "Human polyomavirus 10" "RCA.Skin.4" 28 NA
"Human papillomavirus type 16" "Papillomaviridae" "Firstpapillomavirinae" "Alphapapillomavirus" "Alphapapillomavirus 9" "RCA.Skin.4" 191 NA
"LI polyomavirus" "Polyomaviridae" NA NA "LI polyomavirus" "RCA.Skin.4" 37 NA
"Suid alphaherpesvirus 1" "Herpesviridae" "Alphaherpesvirinae" "Varicellovirus" "Suid alphaherpesvirus 1" "RCA.Skin.4" 3 NA
"Betapapillomavirus 2" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.4" 55 NA
"Human papillomavirus 37" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.4" 94 NA
"Human papillomavirus 120" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.4" 4 NA
"Human polyomavirus 6" "Polyomaviridae" NA "Deltapolyomavirus" "Human polyomavirus 6" "RCA.Skin.4" 3631 NA
"Cat associated lyon-IARC polyomavirus" "Polyomaviridae" NA NA "Cat associated lyon-IARC polyomavirus" "RCA.Skin.4" 4 NA
"Moloney murine sarcoma virus" "Retroviridae" "Orthoretrovirinae" "Gammaretrovirus" "Moloney murine sarcoma virus" "RCA.Skin.4" 12 NA
"CRESS virus sp." NA NA NA "CRESS virus sp." "RCA.Skin.4" 83 NA
"uncultured virus" NA NA NA "uncultured virus" "RCA.Skin.4" 27 NA
"Human papillomavirus 23" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.4" 60 NA
"Cyclovirus ZM32" "Circoviridae" NA "Cyclovirus" "Human associated cyclovirus 8" "RCA.Skin.4" 34 NA
"Cyclovirus ZM50a" "Circoviridae" NA "Cyclovirus" "Human associated cyclovirus 8" "RCA.Skin.4" 16 NA
"Streptococcus phage Javan348" "Siphoviridae" NA NA "Streptococcus phage Javan348" "RCA.Skin.4" 13 NA
"Streptococcus phage Javan340" "Siphoviridae" NA NA "Streptococcus phage Javan340" "RCA.Skin.4" 12 NA
"Streptococcus phage Javan366" "Siphoviridae" NA NA "Streptococcus phage Javan366" "RCA.Skin.4" 10 NA
"Inoviridae sp." "Circoviridae" NA "Cyclovirus" "Human associated cyclovirus 8" "RCA.Skin.4" 8 NA
"Swine cyclovirus" "Inoviridae" NA NA "Inoviridae sp." "RCA.Skin.4" 8 NA
"Human cyclovirus VN-like" "Circoviridae" NA "Cyclovirus" "Human associated cyclovirus 8" "RCA.Skin.4" 7 NA
"Cyclovirus ZM41" "Circoviridae" NA "Cyclovirus" "Human associated cyclovirus 8" "RCA.Skin.4" 5 NA
"Human papillomavirus 77" "Papillomaviridae" "Firstpapillomavirinae" "Alphapapillomavirus" "Alphapapillomavirus 2" "RCA.Skin.4" 4 NA
"Human papillomavirus" "Papillomaviridae" NA NA "Human papillomavirus" "RCA.Skin.6" 141 NA
"MW polyomavirus" "Polyomaviridae" NA "Deltapolyomavirus" "Human polyomavirus 10" "RCA.Skin.6" 22 NA
"LI polyomavirus" "Polyomaviridae" NA NA "LI polyomavirus" "RCA.Skin.6" 14 NA
"Suid alphaherpesvirus 1" "Herpesviridae" "Alphaherpesvirinae" "Varicellovirus" "Suid alphaherpesvirus 1" "RCA.Skin.6" 3 NA
"Epstein-Barr virus" "Herpesviridae" "Gammaherpesvirinae" "Lymphocryptovirus" "Human gammaherpesvirus 4" "RCA.Skin.6" 5 NA
"Circular genetic element sp." NA NA NA "Circular genetic element sp." "RCA.Skin.6" 14 NA
"uncultured virus" NA NA NA "uncultured virus" "RCA.Skin.6" 281 NA
"Human immunodeficiency virus 1" "Retroviridae" "Orthoretrovirinae" "Lentivirus" "Human immunodeficiency virus 1" "RCA.Skin.6" 4 NA
"Giant panda associated gemycircularvirus" "Polyomaviridae" NA "Deltapolyomavirus" "Human polyomavirus 7" "RCA.Skin.6" 2 NA
"Human polyomavirus 7" "Genomoviridae" NA "Gemycircularvirus" "Giant panda associated gemycircularvirus" "RCA.Skin.6" 2 NA
"Lepus americanus faeces associated genomovirus SHP216" "Genomoviridae" NA NA "Lepus americanus faeces associated genomovirus SHP216" "RCA.Skin.6" 2 NA
"Human papillomavirus" "Papillomaviridae" NA NA "Human papillomavirus" "RCA.Vulva.10" 8 NA
"Betapapillomavirus 2" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Vulva.10" 2 NA
"Human papillomavirus type 75" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 3" "RCA.Vulva.10" 8 NA
"Human papillomavirus 23" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Vulva.10" 167 NA
"Human papillomavirus" "Papillomaviridae" NA NA "Human papillomavirus" "RCA.Vulva.11" 4 NA
"Human papillomavirus 104" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Vulva.11" 10 NA
"Human papillomavirus FA75/KI88-03" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Vulva.11" 4 NA
"Human papillomavirus 17" "Polyomaviridae" NA "Betapolyomavirus" "Human polyomavirus 2" "RCA.Vulva.11" 3 NA
"Human papillomavirus 15" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Vulva.12" 15 NA
"Human papillomavirus 104" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Vulva.12" 34 NA
"Human papillomavirus FA75/KI88-03" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Vulva.12" 32 NA
"Human papillomavirus" "Papillomaviridae" NA NA "Human papillomavirus" "RCA.Skin.11" 20 NA
"Merkel cell polyomavirus" "Polyomaviridae" NA "Alphapolyomavirus" "Human polyomavirus 5" "RCA.Skin.11" 7 NA
"uncultured Papillomavirus" "Papillomaviridae" NA NA "uncultured Papillomavirus" "RCA.Skin.11" 73 NA
"Human papillomavirus type 16" "Papillomaviridae" "Firstpapillomavirinae" "Alphapapillomavirus" "Alphapapillomavirus 9" "RCA.Skin.11" 34 NA
"LI polyomavirus" "Polyomaviridae" NA NA "LI polyomavirus" "RCA.Skin.11" 6 NA
"Suid alphaherpesvirus 1" "Herpesviridae" "Alphaherpesvirinae" "Varicellovirus" "Suid alphaherpesvirus 1" "RCA.Skin.11" 34 NA
"Human papillomavirus type 49" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 3" "RCA.Skin.11" 4 NA
"Papillomavirus JL74" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 13" "RCA.Skin.11" 4 NA
"Human polyomavirus 6" "Polyomaviridae" NA "Deltapolyomavirus" "Human polyomavirus 6" "RCA.Skin.11" 16 NA
"Human papillomavirus type 20" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Skin.11" 51 NA
"Gammapapillomavirus 24" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 24" "RCA.Skin.11" 10 NA
"Circular genetic element sp." NA NA NA "Circular genetic element sp." "RCA.Skin.11" 4 NA
"Anelloviridae sp." "Anelloviridae" NA NA "Anelloviridae sp." "RCA.Skin.11" 1398 NA
"TT virus sle2556" "Anelloviridae" NA NA "Torque teno virus" "RCA.Skin.11" 35 NA
"Gammapapillomavirus 7" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 7" "RCA.Skin.11" 4 NA
"TT virus sle2552" "Anelloviridae" NA NA "Torque teno virus" "RCA.Skin.11" 3 NA
"Human cytomegalovirus" "Herpesviridae" "Betaherpesvirinae" "Cytomegalovirus" "Human betaherpesvirus 5" "RCA.Skin.11" 2 NA
"TT virus sle2550" "Anelloviridae" NA NA "Torque teno virus" "RCA.Skin.11" 2 NA
"Human papillomavirus" "Papillomaviridae" NA NA "Human papillomavirus" "RCA.Skin.2" 1803 NA
"Merkel cell polyomavirus" "Polyomaviridae" NA "Alphapolyomavirus" "Human polyomavirus 5" "RCA.Skin.2" 17 NA
"MW polyomavirus" "Polyomaviridae" NA "Deltapolyomavirus" "Human polyomavirus 10" "RCA.Skin.2" 169 NA
"uncultured Papillomavirus" "Papillomaviridae" NA NA "uncultured Papillomavirus" "RCA.Skin.2" 284 NA
"Human papillomavirus type 16" "Papillomaviridae" "Firstpapillomavirinae" "Alphapapillomavirus" "Alphapapillomavirus 9" "RCA.Skin.2" 4 NA
"LI polyomavirus" "Polyomaviridae" NA NA "LI polyomavirus" "RCA.Skin.2" 230 NA
"Human papillomavirus type 49" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 3" "RCA.Skin.2" 21 NA
"Epstein-Barr virus" "Herpesviridae" "Gammaherpesvirinae" "Lymphocryptovirus" "Human gammaherpesvirus 4" "RCA.Skin.2" 27 NA
"Papillomavirus JL74" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 13" "RCA.Skin.2" 57 NA
"Cat associated lyon-IARC polyomavirus" "Polyomaviridae" NA NA "Cat associated lyon-IARC polyomavirus" "RCA.Skin.2" 9 NA
"Human papillomavirus type 76" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 3" "RCA.Skin.2" 126 NA
"Human papillomavirus type 115" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 3" "RCA.Skin.2" 538 NA
"Human papillomavirus 159" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.2" 28 NA
"Human papillomavirus 122" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.2" 434 NA
"Escherichia phage vB_EcoM_G4507" "Myoviridae" "Tevenvirinae" "Tequatrovirus" "Escherichia phage vB_EcoM_G4507" "RCA.Skin.2" 2 NA
"Human papillomavirus type 128" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 13" "RCA.Skin.2" 10 NA
"Human papillomavirus 23" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.2" 37 NA
"Cyclovirus ZM32" "Circoviridae" NA "Cyclovirus" "Human associated cyclovirus 8" "RCA.Skin.2" 313 NA
"Cyclovirus ZM50a" "Circoviridae" NA "Cyclovirus" "Human associated cyclovirus 8" "RCA.Skin.2" 370 NA
"Human cyclovirus VN-like" "Circoviridae" NA "Cyclovirus" "Human associated cyclovirus 8" "RCA.Skin.2" 32 NA
"Cyclovirus ZM41" "Circoviridae" NA "Cyclovirus" "Human associated cyclovirus 8" "RCA.Skin.2" 10 NA
"Human papillomavirus 9" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.2" 1489 NA
"Human papillomavirus 173" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 1" "RCA.Skin.2" 969 NA
"Human polyomavirus 3" "Polyomaviridae" NA "Betapolyomavirus" "Human polyomavirus 3" "RCA.Skin.2" 90 NA
"Human papillomavirus type 147" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 8" "RCA.Skin.2" 85 NA
"Human papillomavirus 205" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 1" "RCA.Skin.2" 71 NA
"Cyclovirus ZM38" "Circoviridae" NA "Cyclovirus" "Human associated cyclovirus 8" "RCA.Skin.2" 52 NA
"Cyclovirus ZM62" "Circoviridae" NA "Cyclovirus" "Human associated cyclovirus 8" "RCA.Skin.2" 39 NA
"Human polyomavirus 1" "Polyomaviridae" NA "Betapolyomavirus" "Human polyomavirus 1" "RCA.Skin.2" 37 NA
"Human papillomavirus type 36" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Vulva.2" 43 NA
"Human papillomavirus" "Papillomaviridae" NA NA "Human papillomavirus" "RCA.Vulva.2" 3 NA
"uncultured Caudovirales phage" NA NA NA "uncultured Caudovirales phage" "RCA.Vulva.2" 2 NA
"Human papillomavirus type 150" "Papillomaviridae" "Firstpapillomavirinae" "Alphapapillomavirus" "Alphapapillomavirus 7" "RCA.Vulva.2" 16 NA
"Zika virus" "Siphoviridae" NA NA "Streptococcus phage SW27" "RCA.Vulva.2" 6 NA
"Human papillomavirus" "Papillomaviridae" NA NA "Human papillomavirus" "RCA.Skin.9" 1167 NA
"Merkel cell polyomavirus" "Polyomaviridae" NA "Alphapolyomavirus" "Human polyomavirus 5" "RCA.Skin.9" 29 NA
"LI polyomavirus" "Polyomaviridae" NA NA "LI polyomavirus" "RCA.Skin.9" 7 NA
"Betapapillomavirus 2" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.9" 12515 NA
"Human polyomavirus 5" "Polyomaviridae" NA "Alphapolyomavirus" "Human polyomavirus 5" "RCA.Skin.9" 2 NA
"Human polyomavirus 6" "Polyomaviridae" NA "Deltapolyomavirus" "Human polyomavirus 6" "RCA.Skin.9" 46 NA
"Human papillomavirus type 24" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Skin.9" 935 NA
"Thrips-associated genomovirus 2" "Genomoviridae" NA NA "Thrips-associated genomovirus 2" "RCA.Skin.9" 65 NA
"Circular genetic element sp." NA NA NA "Circular genetic element sp." "RCA.Skin.9" 13 NA
"Human papillomavirus 111" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.9" 966 NA
"Human papillomavirus type 129" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 9" "RCA.Skin.9" 23 NA
"Canis familiaris papillomavirus 4" "Papillomaviridae" "Firstpapillomavirinae" "Chipapillomavirus" "Chipapillomavirus 2" "RCA.Skin.9" 7 NA
"Human betapapillomavirus" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Human betapapillomavirus" "RCA.Skin.9" 6 NA
"Human papillomavirus type 12" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Skin.9" 2 NA
"Pseudomonas virus H66" "Podoviridae" NA "Hollowayvirus" "Pseudomonas virus H66" "RCA.Skin.9" 2 NA
"Streptococcus virus MS1" "Siphoviridae" NA NA "Streptococcus virus MS1" "RCA.Skin.9" 2 NA
