"tax_id","superkingdom","phylum","class","order","family","genus","species","kingdom","no.rank","no.rank1","no.rank2","no.rank22","no.rank3","subclass","subfamily","subkingdom","suborder","subphylum","subspecies","subtribe","superfamily"
2202563,"Viruses","","","","","","CRESS virus sp.","","unclassified viruses","unclassified DNA viruses","unclassified ssDNA viruses","CRESS viruses","","","","","","","","",""
2202565,"Viruses","","","","Genomoviridae","","Genomoviridae sp.","","unclassified Genomoviridae","","","","","","","","","","","",""
2202954,"Viruses","","","","","","Circular genetic element sp.","","unclassified viruses","","","","","","","","","","","",""
2219103,"Viruses","","","Tubulavirales","Inoviridae","","Inoviridae sp.","","unclassified Inoviridae","","","","","","","","","","","",""
2219119,"Viruses","","","","Genomoviridae","","Lepus americanus faeces associated genomovirus SHP216","","unclassified Genomoviridae","","","","","","","","","","","",""
2234036,"Viruses","","","Caudovirales","Herelleviridae","Sepunavirus","Staphylococcus phage Quidividi","","unclassified Sepunavirus","","","","","","","Twortvirinae","","","","",""
2259331,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 1","","Human papillomavirus 157","","","","","","","Firstpapillomavirinae","","","","",""
2259334,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 1","","Human papillomavirus 205","","","","","","","Firstpapillomavirinae","","","","",""
2293282,"Viruses","","","","Genomoviridae","","Fly associated circular virus 2","","unclassified Genomoviridae","","","","","","","","","","","",""
2419647,"Viruses","","","Caudovirales","Siphoviridae","","Streptococcus phage SW27","","unclassified Siphoviridae","","","","","","","","","","","",""
2488668,"Viruses","","","Caudovirales","Myoviridae","","Acinetobacter phage TAC1","","unclassified Myoviridae","","","","","","","","","","","",""
2500826,"Viruses","","","Caudovirales","Autographiviridae","Friunavirus","Acinetobacter phage AbKT21phiIII","","unclassified Friunavirus","","","","","","","Beijerinckvirinae","","","","",""
2502306,"Viruses","","","Caudovirales","Myoviridae","Tequatrovirus","Escherichia phage vB_EcoM_G4507","","unclassified Tequatrovirus","","","","","","","Tevenvirinae","","","","",""
2548114,"Viruses","","","Caudovirales","Siphoviridae","","Streptococcus phage Javan340","","unclassified Siphoviridae","","","","","","","","","","","",""
2548118,"Viruses","","","Caudovirales","Siphoviridae","","Streptococcus phage Javan348","","unclassified Siphoviridae","","","","","","","","","","","",""
2548127,"Viruses","","","Caudovirales","Siphoviridae","","Streptococcus phage Javan366","","unclassified Siphoviridae","","","","","","","","","","","",""
2582939,"Viruses","","","","Genomoviridae","","Capybara genomovirus 12","","unclassified Genomoviridae","","","","","","","","","","","",""
2582948,"Viruses","","","","Genomoviridae","","Capybara genomovirus 9","","unclassified Genomoviridae","","","","","","","","","","","",""
2583501,"Viruses","","","","Polyomaviridae","","Cat associated lyon-IARC polyomavirus","","unclassified Polyomaviridae","","","","","","","","","","","",""
2584381,"Viruses","","","","Genomoviridae","","Plant associated genomovirus 10","","unclassified Genomoviridae","","","","","","","","","","","",""
